route_id,route_long_name,length_km,trips_per_day_estimate,daily_vehicle_km_proxy,emissions_potential_score,emissions_source,emissions_confidence
LTFRB_PUJ2109,ANTIPOLO BAYAN - SM TAYTAY ANTIPOLO HILLS,18.906,1020.0,19284.12,59.45,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2110,ANTIPOLO BAYAN - SM TAYTAY ANTIPOLO HILLS,17.989,1020.0,18348.780000000002,56.51,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2111,ANTIPOLO - JRU ROSARIO,18.839,1020.0,19215.78,59.24,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2112,ANTIPOLO - JRU ROSARIO,17.949,1020.0,18307.980000000003,56.38,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2113,ANTIPOLO - CUBAO via IMELDA AVE,21.106,1020.0,21528.120000000003,66.52,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2114,ANTIPOLO - CUBAO via IMELDA AVE,19.723,1020.0,20117.46,62.08,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2115,ANGONO - TROPICAL STA LUCIA,14.21,1020.0,14494.2,44.37,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2116,ANGONO - TROPICAL STA LUCIA,14.551,1020.0,14842.02,45.47,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2117,AMPARO - NOVALICHES,7.535,1020.0,7685.7,22.94,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2118,AMPARO - NOVALICHES,6.178,1020.0,6301.5599999999995,18.58,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2119,ALMAR ZABARTE - WELCOME RTDA via REGALADO QA,24.067,1020.0,24548.34,76.03,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2120,ALMAR ZABARTE - WELCOME RTDA via REGALADO QA,24.328,1020.0,24814.559999999998,76.87,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
