route_id,portfolio_scenario_id,phase1_selected,simple_top_n_selected,portfolio_exclusion_reason
LTFRB_PUJ1016,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1046,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1056,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1856,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2572,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1053,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1155,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2360,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1738,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2086,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1777,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2258,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1341,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2097,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2453,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1588,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2211,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2163,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2549,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2571,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2087,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1543,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2320,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1552,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2238,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1227,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1857,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2014,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2235,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2257,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1340,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2256,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1531,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1592,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1776,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2457,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2329,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2464,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1146,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1247,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2255,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2330,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2227,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1374,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
